Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
phs-bosarcalculator,,,2019-07-29 11:39:42,2019-07-29 11:39:57,15.205s,FAILED
,,,,,,
Test Cases/phs-bosarcalculator/BOAddCompSarCal,,To add component sar calculator,2019-07-29 11:39:42,2019-07-29 11:39:48,6.266s,PASSED
"response = sendRequest(findTestObject(""phs-bosarcalculator/BOAddCompSarCal"", [""endpoint"":endpoint, ""objid"":findTestData(""phs-bosarcalculator/BOAddCompSarCal"").getValue(1, 1), ""clntnum"":findTestData(""phs-bosarcalculator/BOAddCompSarCal"").getValue(2, 1), ... ]))",,,2019-07-29 11:39:43,2019-07-29 11:39:48,5.474s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-29 11:39:48,2019-07-29 11:39:48,0.018s,PASSED
,,,,,,
Test Cases/phs-bosarcalculator/BOAddPolSarCal,,Add riders to add new life to the policy,2019-07-29 11:39:48,2019-07-29 11:39:49,0.935s,FAILED
"response = sendRequest(findTestObject(""phs-bosarcalculator/BOAddPolSarCal"", [""endpoint"":endpoint, ""objid"":findTestData(""phs-bosarcalculator/BOAddPolSarCal"").getValue(1, 1), ""clntnum"":findTestData(""phs-bosarcalculator/BOAddPolSarCal"").getValue(2, 1), ... ]))",,,2019-07-29 11:39:49,2019-07-29 11:39:49,0.531s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-29 11:39:49,2019-07-29 11:39:49,0.032s,FAILED
,,,,,,
Test Cases/phs-bosarcalculator/BODelSarCal,,To delete or clear sar calculator,2019-07-29 11:39:49,2019-07-29 11:39:50,0.864s,FAILED
"response = sendRequest(findTestObject(""phs-bosarcalculator/BODelSarCal"", [""endpoint"":endpoint, ""objid"":findTestData(""phs-bosarcalculator/BODelSarCal"").getValue(1, 1), ""clntnum"":findTestData(""phs-bosarcalculator/BODelSarCal"").getValue(2, 1)]))",,,2019-07-29 11:39:50,2019-07-29 11:39:50,0.301s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-29 11:39:50,2019-07-29 11:39:50,0.010s,FAILED
,,,,,,
Test Cases/phs-bosarcalculator/BOEnquirySar,,To retrieve SAR Calculator level component,2019-07-29 11:39:50,2019-07-29 11:39:51,1.168s,PASSED
