Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
master-db,,,2019-07-25 14:42:34,2019-07-25 14:42:50,16.284s,PASSED
,,,,,,
Test Cases/phs-masterdb/DocTypeSave,,,2019-07-25 14:42:35,2019-07-25 14:42:40,5.223s,PASSED
"response = sendRequest(findTestObject(""phs-masterdb/DocTypeSave"", [""docType"":findTestData(""phs-masterdb/save"").getValue(1, 1), ""docId"":findTestData(""phs-masterdb/save"").getValue(2, 1), ""endpoint"":endpoint]))",,,2019-07-25 14:42:36,2019-07-25 14:42:40,4.358s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-25 14:42:40,2019-07-25 14:42:40,0.023s,PASSED
,,,,,,
Test Cases/phs-masterdb/ExtTypeSave,,,2019-07-25 14:42:40,2019-07-25 14:42:41,0.875s,PASSED
"response = sendRequest(findTestObject(""phs-masterdb/extTypeSave"", [""endpoint"":endpoint, ""id"":findTestData(""phs-masterdb/extTypeSave"").getValue(1, 1), ""mime"":findTestData(""phs-masterdb/extTypeSave"").getValue(2, 1), ... ]))",,,2019-07-25 14:42:40,2019-07-25 14:42:41,0.485s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-25 14:42:41,2019-07-25 14:42:41,0.007s,PASSED
,,,,,,
Test Cases/phs-masterdb/extTypeUpdate,,,2019-07-25 14:42:41,2019-07-25 14:42:42,0.722s,PASSED
"response = sendRequest(findTestObject(""phs-masterdb/ExtTypeUpdate"", [""endpoint"":endpoint, ""id"":findTestData(""phs-masterdb/extTypeUpdate"").getValue(1, 1), ""mime"":findTestData(""phs-masterdb/extTypeUpdate"").getValue(2, 1), ... ]))",,,2019-07-25 14:42:41,2019-07-25 14:42:42,0.316s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-25 14:42:42,2019-07-25 14:42:42,0.004s,PASSED
,,,,,,
Test Cases/phs-masterdb/findByAgentCode,,,2019-07-25 14:42:42,2019-07-25 14:42:42,0.651s,PASSED
"response = sendRequest(findTestObject(""phs-masterdb/findByAgentCode"", [""endpoint"":endpoint, ""agentCode"":findTestData(""phs-masterdb/findByAgentCode"").getValue(1, 1)]))",,,2019-07-25 14:42:42,2019-07-25 14:42:42,0.249s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-25 14:42:42,2019-07-25 14:42:42,0.004s,PASSED
