Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
master-db,,,2019-07-25 14:45:09,2019-07-25 14:45:25,16.539s,PASSED
,,,,,,
Test Cases/phs-masterdb/DocTypeSave,,,2019-07-25 14:45:09,2019-07-25 14:45:18,8.409s,PASSED
"response = sendRequest(findTestObject(""phs-masterdb/DocTypeSave"", [""docType"":findTestData(""phs-masterdb/save"").getValue(1, 1), ""docId"":findTestData(""phs-masterdb/save"").getValue(2, 1), ""endpoint"":endpoint]))",,,2019-07-25 14:45:11,2019-07-25 14:45:18,6.721s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-25 14:45:18,2019-07-25 14:45:18,0.025s,PASSED
,,,,,,
Test Cases/phs-masterdb/ExtTypeSave,,,2019-07-25 14:45:18,2019-07-25 14:45:19,0.796s,PASSED
"response = sendRequest(findTestObject(""phs-masterdb/extTypeSave"", [""endpoint"":endpoint, ""id"":findTestData(""phs-masterdb/extTypeSave"").getValue(1, 1), ""mime"":findTestData(""phs-masterdb/extTypeSave"").getValue(2, 1), ... ]))",,,2019-07-25 14:45:18,2019-07-25 14:45:19,0.405s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-25 14:45:19,2019-07-25 14:45:19,0.006s,PASSED
,,,,,,
Test Cases/phs-masterdb/extTypeUpdate,,,2019-07-25 14:45:19,2019-07-25 14:45:19,0.759s,PASSED
"response = sendRequest(findTestObject(""phs-masterdb/ExtTypeUpdate"", [""endpoint"":endpoint, ""id"":findTestData(""phs-masterdb/extTypeUpdate"").getValue(1, 1), ""mime"":findTestData(""phs-masterdb/extTypeUpdate"").getValue(2, 1), ... ]))",,,2019-07-25 14:45:19,2019-07-25 14:45:19,0.315s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-25 14:45:19,2019-07-25 14:45:19,0.004s,PASSED
,,,,,,
Test Cases/phs-masterdb/findByAgentCode,,,2019-07-25 14:45:19,2019-07-25 14:45:20,0.524s,PASSED
"response = sendRequest(findTestObject(""phs-masterdb/findByAgentCode"", [""endpoint"":endpoint, ""agentCode"":findTestData(""phs-masterdb/findByAgentCode"").getValue(1, 1)]))",,,2019-07-25 14:45:20,2019-07-25 14:45:20,0.112s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-25 14:45:20,2019-07-25 14:45:20,0.007s,PASSED
,,,,,,
Test Cases/phs-masterdb/getall,,,2019-07-25 14:45:20,2019-07-25 14:45:20,0.419s,PASSED
"response = sendRequest(findTestObject(""phs-masterdb/getall"", [""endpoint"":endpoint]))",,,2019-07-25 14:45:20,2019-07-25 14:45:20,0.063s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-25 14:45:20,2019-07-25 14:45:20,0.003s,PASSED
,,,,,,
Test Cases/phs-masterdb/getBydocid,,,2019-07-25 14:45:20,2019-07-25 14:45:21,0.488s,PASSED
"response = sendRequest(findTestObject(""phs-masterdb/getBydocid"", [""endpoint"":endpoint, ""docId"":findTestData(""phs-masterdb/getBydocid"").getValue(1, 1)]))",,,2019-07-25 14:45:21,2019-07-25 14:45:21,0.108s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-25 14:45:21,2019-07-25 14:45:21,0.003s,PASSED
,,,,,,
Test Cases/phs-masterdb/getByParam,,,2019-07-25 14:45:21,2019-07-25 14:45:21,0.638s,PASSED
"response = sendRequest(findTestObject(""phs-masterdb/GetByParam"", [""endpoint"":endpoint, ""id"":findTestData(""phs-masterdb/getByParam"").getValue(1, 1), ""param"":findTestData(""phs-masterdb/getByParam"").getValue(2, 1), ... ]))",,,2019-07-25 14:45:21,2019-07-25 14:45:21,0.215s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-25 14:45:21,2019-07-25 14:45:21,0.003s,PASSED
,,,,,,
Test Cases/phs-masterdb/getByparamType,,,2019-07-25 14:45:21,2019-07-25 14:45:22,0.635s,PASSED
"response = sendRequest(findTestObject(""phs-masterdb/getByparamType"", [""endpoint"":endpoint, ""id"":findTestData(""phs-masterdb/getByparamType"").getValue(1, 1), ""param"":findTestData(""phs-masterdb/getByparamType"").getValue(2, 1), ... ]))",,,2019-07-25 14:45:22,2019-07-25 14:45:22,0.216s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-25 14:45:22,2019-07-25 14:45:22,0.003s,PASSED
,,,,,,
Test Cases/phs-masterdb/GetDocType,,,2019-07-25 14:45:22,2019-07-25 14:45:23,0.655s,PASSED
"response = sendRequest(findTestObject(""phs-masterdb/GetBydoctype"", [""endpoint"":endpoint, ""docType"":findTestData(""phs-masterdb/getBydoctype"").getValue(1, 1), ""param"":findTestData(""phs-masterdb/getBydoctype"").getValue(2, 1)]))",,,2019-07-25 14:45:23,2019-07-25 14:45:23,0.141s,PASSED
slurper = new groovy.json.JsonSlurper(),,,2019-07-25 14:45:23,2019-07-25 14:45:23,0.009s,PASSED
result = slurper.parseText(response.getResponseBodyContent()),,Convert JsonResponse to JsonObject,2019-07-25 14:45:23,2019-07-25 14:45:23,0.020s,PASSED
newResult = slurper.parseText(message),,Convert Json with message data to JsonObject,2019-07-25 14:45:23,2019-07-25 14:45:23,0.013s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-25 14:45:23,2019-07-25 14:45:23,0.002s,PASSED
,,,,,,
Test Cases/phs-masterdb/getExtByvalue,,,2019-07-25 14:45:23,2019-07-25 14:45:23,0.528s,PASSED
"response = sendRequest(findTestObject(""phs-masterdb/getExtByvalue"", [""endpoint"":endpoint, ""value"":findTestData(""phs-masterdb/getExtByvalue"").getValue(1, 1)]))",,,2019-07-25 14:45:23,2019-07-25 14:45:23,0.113s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-25 14:45:23,2019-07-25 14:45:23,0.003s,PASSED
,,,,,,
Test Cases/phs-masterdb/getType,,,2019-07-25 14:45:23,2019-07-25 14:45:24,0.519s,PASSED
